

Day 1
ability  n. 能力；才能                
stranger  n. 陌生人，外人 
street  n. 街，街道 
strength  n. 力量，力气 
strike  v.（钟）鸣;敲（响）,罢工 
strike (struck, struck 或stricken)   vt. 擦（打）火, 侵袭 
strong  a. 强(壮)的；坚固的；强烈的；坚强的 
student  n. 学生 
studio  n. 工作室，演播室 
study  v. 学习；研究 n. 书房 
stupid  a. 愚蠢的，笨的 
style  n. 方式，作风，款式 
subject  a. 隶属的；受支配的；易受…的；在…条件下 vt. 使隶属；使服从；使受到 n. 题目；主题；学科；主语；主体 
succeed  vi. 成功 
success  n. 成功 
successful  a. 成功的,有成就的 
such  ad. 那么 pron. （泛指）人，事物 a.这样的，那样的 
sudden  a. 突然的 
suffer  vi. 受苦，遭受 
suffering  n. 痛苦，苦难 
sugar  n. 糖 
suggest  vt. 建议，提议 
suggestion  n. 建议 
suit  vt. 适合 n.一套（衣服） 
suitable  a. 合适的，适宜的 
suitcase  n.(旅行用)小提箱,衣箱 
summary  n. 摘要，概要 
summer  n. 夏天，夏季 
sun  n. 太阳，阳光 
supply  vt.& n. 供给，供应 
support  vt.& n. 支持，赞助 
suppose  vt. 猜想,假定,料想 
sure  a. 确信，肯定 ad. (口语)的确，一定，当然 
surface  n. 表面 
surprise  vt. 使惊奇,使诧异 n. 惊奇,诧异 
surround vt. 围绕；包围
surrounding  a. 周围的 
survival  n. 存活，幸存 
survive  v.生存，存活，幸免于难
suspect  n. 犯罪嫌疑人 
sweet  n.甜食;蜜饯;甜点;糖果;芳香a.甜的;新鲜的;可爱的;亲切的 
swim (swam, swum)   vi. 游泳,游  n. 游泳，游 
swing  vt. 挥舞，摆动 n. 秋千 
switch  v./ n. 开关,转换,改变
system   n. 体系；系统 
systematic  a.系统的,有条理的
table  n. 桌子，表格 
table tennis  n. 乒乓球 
tail  n. (动物的)尾巴 
take (took, taken)   vt. 拿；拿走；做；服用；乘坐；花费 
talk  n.& v.谈话,讲话,演讲,交谈 
tall  a. 高的 
tank  n. 储水容量；坦克 
tape  n. 磁带；录音带 
target  n./ v. 目标，把…作为攻击目标 

Day27
task  n. 任务, 工作 
taste  n. 品尝, 尝味；味道 vt. 品尝, 尝味 
tax  n. 税，税款 
taxi  n. 出租汽车 
teach(taught,taught)   v. 教书,教 
teacher  n. 教师，教员 
team  n. 队，组 
tear  n. 眼泪 v. 扯破, 撕开 
technical  a. 技术的，工艺的 
technique  n. 技术;技巧,方法 
technology  n. 技术 
telephone  v. 打电话 n. 电话 
television  n. 电视 
tell (told, told)   vt.告诉,讲述,吩咐 
temperature  n. 温度 
temporary  a. 短暂的，暂时的
tend  v. 往往会，常常就，倾向，趋于 
term  n. 学期;术语;条款;项 
terrible  a. 可怕的；糟糕的 
test  vt.& n. 测试, 考查，试验 
text  n. 文本，课文 
textbook n. 课本，教科书 
than  conj. 比 
thank  vt. 感谢，致谢，道谢 n. （复）感谢，谢意 
thankful  a. 感谢的，感激的 
that  a.& pron.那，那个 conj. 那，那个（引导宾语从句等）ad. 那么，那样 
the  art. 这（那）个,这（那）些（用于特定人或物，序数词，最高级，专有名词，世上独一 无二事物前） 
their  pron. 他(她,它)们的 
theirs  pron. 他（她,它）们的
them  pron. 他/她/它们（宾格） 
themselves  pron.他/她/它们自己 
then  ad. 当时,那时,然后,那么
theory  n. 理论 
there  int. 那！你瞧（表示引起注意） n. 那里，那儿 ad. 在那里，往那里；（作引导词）表”存在" 
therefore  ad. 因此，所以 
these  a. & pron. 这些 
they  pron. 他（她）们；它们
thick  a. 厚的 
thin a. 薄的；瘦的；稀的 
thing  n. 东西；(复)物品，用品；事情，事件 
think(thought, thought)   v. 想；认为；考虑 
thinking  n. 思索;见解;想法 
this  a.& pron.这，这个 
those  a.& pron.那些 
though  conj. 虽然，可是 
thought  n. 思考,思想;念头 
throat  n. 喉咙 
through  prep.穿（通）过;从始至终 ad.穿(通)过;自始至终,全部 
throughout  prep. 遍及，贯穿 
throw(threw,thrown)  v.投,掷,扔 
ticket  n. 票；卷 
tie  vt. （用绳，线）系，拴，扎 n. 领带，绳子，结；关系 
tight  a. 紧的 
till  conj.& prep.直到,直到…为止
time  n. 时间;时期;钟点,次,回 vt.测定…的时间,记录…的时间 
tiny  adj.  tinier, tiniest  a. 极小的，微小的 
tired  a. 疲劳的，累的 
title  n. 标题，题目 
to  prep. （动词不定式符号，无词义）；（表示接受动作的人或物）给；对，向，到；在…之前

Day28
today  ad.& n.今天;现在,当前 
together  ad. 一起，共同 
tomorrow  ad. & n.明天 
tongue  n. 舌，舌头 
tonight  ad.& n. 今晚，今夜 
too  ad.也,还,又,太,过分,很,非常 
tool  n. 工具，器具 
top  n. 顶部,（物体的）上面 
topic  n. 题目，话题 
total  a. 总数的;总括的;完全的,全然的 n.合计,总计 v.合计为 
touch  vt. 触摸，接触 
tough  a. 坚硬的；结实的；棘手的，难解的 
tour  n. 参观, 观光, 旅行 
tourism  n. 旅游业；观光 
tourist  vn. 旅行者，观光者 
toward(s)  prep. 向，朝，对于 
tower  n. 塔 
town  n. 城镇，城 
toy  n. 玩具, 玩物 
track  n. 轨道；田径 
trade  n.贸易 vt.用…进行交换 
tradition  n. 传统，风俗
traditional  a. 传统的，风俗的
traffic  n. 交通，来往车辆 
train  n. 火车 v. 培训,训练 
training  n. 培训 
travel  n.& vi.旅行 
traveler  n. 旅行者 
treat  vt. 对待，看待 
treatment  n. 治疗,疗法 
tree  n. 树 
trial  n. 审判；试验；试用 
trip  n. 旅行，旅程 
trouble  vt. 使苦恼,使忧虑,使麻烦 n.问题,疾病,烦恼,麻烦 
troublesome  a.令人烦恼, 讨厌 
truck  n. 卡车, 运货车；车皮 v. 装车；用货车运 
true  a. 真的，真实的；忠诚的 
truly  ad. 真正地，真实地 
trust  vt. 相信，信任，信赖 
truth  n. 真理,事实,真相,实际
try  v. 试，试图，努力 
T-shirt  n. T恤衫 
turn  v. 旋转，翻转，转变，转弯 n. 轮流，（轮流的）顺序 
TV(缩) = television  n. 电视机 
twice  ad. 两次；两倍 
type  vt. 打字 
typewriter  n. 打字机 
typical  a. 典型的，有代表性的，特有的 
unable  a.不能的，不能胜任的 
under  ad.& prep.在…下面，向…下面 
understand (understood, understood)  v. 懂得;明白;理解 
uniform  n. 制服 
union  n. 联合,联盟；工会 
unit  n. 单元，单位 
university  n. 大学 
unless  conj. 如果不，除非 
unlike  prep. 不像，和…不同 
until  prep.& conj.直到…为止 
unusual  a. 不平常的，异常的 
up  ad. 向上；在上方；起来；在…以上 a. 上面的，向上的，上行的 n. 上升；上坡；上行；繁荣 v. 举起；拿起；提高 prep. 向(高处)；向(在)……上(面)游 
upon  prep. 在……上面 

Day29
us pron.（we的宾格，用作宾语）我们
use  n.& vt.利用,使用,应用 
used  a. 用过的;旧的;二手的 
useful  a. 有用的，有益的 
useless  a. 无用的 
user  n. 使用者；用户 
usual  a. 通常的，平常的 
vacation  n. 假期，休假 
valuable  a. 值钱的，贵重的 
value  n. 价值，益处 
variety  n. 种种，种类 
various  a. 各种各样的，不同的 
vegetable  n. 蔬菜 
vehicle  n. 交通工具，车辆
very  vad. 很，非常 
victim  n. 受害者，牺牲品
victory  n. 胜利 
video  n. 录像，视频 
view  n. 看法,见解;风景,景色 
village  n. 村庄，乡村 
villager  n. 村民 
violence  n. 暴力行为 
violent  a. 暴力的 
visit  n.& vt. 参观，访问，拜访 
visitor  n. 访问者，参观者 
voice  n. 说话声; 语态 
vote  vi. 选举，投票 
wage  n. 工资，工钱，报酬 
wait  vi. 等，等候 
walk  n.& v. 步行；散步 
wall  n. 墙 
want  vt. 想,想要,需要,必要 
war  n. 战争 
warm  a. 暖和的,温暖的;热情的 
warmth  n. 暖和，温暖 
warn vt. 警告，预先通知 
wash  n.洗(涤)冲洗,洗剂,泼溅,洗的衣服 v.洗(涤),冲洗,流过,弄湿 
waste  n.& vt. 浪费 
watch  vt. 观看，注视；当心，注意 n. 手表，表 
water  n. 水v. 浇水 
wave  n. （热、光、声等的）波，波浪 v. 挥手，挥动，波动 
way  n. 路，路线；方式，手段 
we  pron. 我们 
weak  a. 差的，弱的，淡的 
wealth  n. 财产，财富 
wealthy  a. 富的 
wear (wore, worn)  v. 穿，戴
weather  n. 天气 
wedding  n. 婚礼,结婚 
week  n. 星期，周 
weekend  n. 周末 
weigh  vt. 称…的重量，重（若干） 
weight  n. 重，重量 
welcome  int.n. & v.欢迎 a. 受欢迎的 
well  (better, best) ad. 好,令人满意地,完全地 a.好的,,健康的int. 表示惊讶同意或犹豫等,亦用于接话语;好吧,那么,哎呀 n. 井 
west  a. (在)西；向西,从西来的 ad. 在西方,向西方 n.西部；西方 
western  a. 西方的，西部的 
wet  a. 湿的,潮的,多雨的 
what  pron. 什么,怎么样 a. 多么，何等；什么 
whatever  conj. & pron.无论什么，不管什么 
wheel  n. 轮，机轮 

Day30
when  conj. 当…的时候 ad. 什么时候，何时 
where  ad. 在哪里；往哪里 
wherever  conj. 无论在哪里
whether  conj. 是否 
which  pron. 那(哪)一个；那(哪)一些 a.这(哪)个；这(哪)些；无论哪个(些)
welfare  n. 幸福，福利 
whichever  pron. 无论哪个;无论哪些 
while  conj.在…的时候,和…同时 n. 一会儿，一段时间 
white  a. 白色的 n. 白色 
who  pron. 谁 
whole  a. 整个的 
whom  pron. (who的宾格 )
whose  pron. 谁的 
why  ad./ int. 为什么, 你难道不知道（表示反驳、不耐烦等）
wide  a. 宽阔的 
wife  n. 妻子 
will (would)  modal v. 将,会(表示将来)；愿意，要 n. 意志, 遗嘱
willing  a. 乐意的； 愿意的 
win (won, won)  n. 获胜，赢得 
wind  n. 风 
wind(wound,wound)  vt. 缠，连带；蜿蜒，弯曲 
window  n. 窗户；计算机的窗 
wine  n. 酒 
wing  n. 机翼，翅膀 
winner  n. 获胜者 
wish  n. 愿望，祝愿 vt. 希望，想要，祝愿 
with  prep.关于,带有,以,和,用,有
within  prep. 在……里面 
without  prep. 没有 
woman ( 复women)  n.妇女女人 
wonder  v. 对…疑惑，感到惊奇,想知道 n. 惊讶,惊叹;奇迹 
wonderful  a. 美妙的，精彩的；了不起的；太好了 
wood  n.木头,木材,(复)树木,森林 
wool n. 羊毛，羊绒 
woollen  a. 羊毛的，羊毛制的
word  n. 词，单词；话 
work  n. 工作,劳动,事情 vi. 工作;(机器、器官等)运转,活动 
worker  n. 工人；工作者 
world  n. 世界 
worldwide  a. 遍及全球的，世界范围的 
worried  a. 担心的，烦恼的 
worry  n.& v.烦恼,担忧,发怒,困扰 
worth  a. 有…的价值,值得…的 
would  modal v.（will的过去时）将会，打算，想要，过去常常 
write  (wrote, written) v. 写，书写；写作，著述 
writing  n. 书写，写 
wrong  a.错误,不正常,有毛病的 
yard  n. 码；院子；场地 
year  n. 年 
yellow  a. 黄色的 
yes  ad. 是，好，同意 
yesterday  n.& ad. 昨天
yet  ad. 尚，还，仍然 
you   pron. 你；你们 
young  a. 年轻的 
your  pron. 你的；你们的 
yours  pron. 你的；你们的 
yourself  pron. 你自己
youth  n. 青春；青年 
zone  n. 区域；范围 

Day31
absence  n. 不在，缺席 
absent  a. 缺席， 不在 
absorb  v. 吸收，使全神贯注
academic  a. 学术的，教学的 n.大学教师
accent  n. 口音，音调 
accurate adj.正确无误的；精确的
ache  vi.& n. 痛，疼痛 
acid  a. 酸的
acre  n. 英亩
AD n. 公元 
ad  (缩) =advertisement n.广告 
advance  v. 推进，促进；前进 
adventure  n. 冒险； 奇遇 
advertise  vt. 为……做广告 
advertisement  n. 广告 
Africa * n. 非洲
African  a. 非洲的，非洲人的 n. 非洲人 
AIDS  n. 艾滋病 
airline n. 航空公司；航空系统 
airmail  n. 航空邮件 
airplane  n. （美）飞机 
airspace  n.领空,（某国的）空域
alcohol  n. 含酒精饮料，酒 
alike  ad. 很相似地，同样地
allergic  a. 过敏的，厌恶的
aloud  ad. 大声地 
alphabet  n. 字母表，字母
am v. be的人称形式之一 
amaze  v. 使大为吃惊；使惊愕
ambassador (ambassadress)  n.大使
ambulance  n. 救护车
amusement  n. 娱乐 
America  * n. 美国；美洲 
analyze  v. 分析
analysis  n. 分析；解析
ancestor  n. 祖宗； 祖先 
ankle  n. 足踝，踝关节
annoy  vt. （使）烦恼 
ant  n. 蚂蚁 

Day32
Antarctic a. 南极的 n. 南极洲，南极地区
anxiety  n. 担忧，焦虑
anxious  a. 忧虑的，焦急的 
anyhow  ad. 不管怎样 
apron  n. （机场的）停机坪；围裙
architect  n. 建筑师，设计师
Arctic  a. 北极的 n. 北极圈
arise (arose, arisen)  vi. 起来，升起；出现 
arithmetic  n. 算术 
armchair  n. 扶手椅 
arrow  n. 箭；箭头 
ash  n. 灰； 灰末 
Asia * n. 亚洲 
Asian  a. 亚洲（人）的n. 亚洲人 
aside  ad. 在旁边 
association  n. 协会，社团，联系
astronomer  n. 天文学家
astronomy  n. 天文学 
athlete  n. 运动员 
Atlantic  a. 大西洋的 
atom  n. 原子，微粒 
automatic  a. 自动的，机械的
avenue  n. 大道 
bacon  n. 咸猪肉；熏猪肉 
badminton  n. 羽毛球 
baggage  n. 行李 
balloon  n. 气球 
bamboo  n. 竹 
banana n. 香蕉
barbecue  n. 烤肉野餐 
bargain  n.（经讨价还价后）成交的商品；廉价货 v. 讨价还价 
bark  v. 狗叫 n. 狗叫声
baseball  n. 棒球 
basement  n. 地下室 
basin  n. 水盆，脸盆 
bat  n. （棒球、板球的）球棒 n. 蝙蝠 
battery  n. 电池 
BC n. 公元前 

Day33
bean  n. 豆，豆科植物 
beard  n. （下巴上的）胡须 ;山羊胡
beast n. 野兽；牲畜 
bee  n.. 蜜蜂 
beef  n. 牛肉 
beg  v. 请求，乞求，乞讨 
belt  n. （皮）带 
bench  n. 长凳；工作台 
bicycle  n. 自行车 
billion  num. 十亿，百亿 
biology  n. 生物（学） 
biscuit  n. 饼干 
bite (bit, bitten)  v. 咬；叮 
bitter  a. 有苦味的；痛苦的，难过的；严酷的
blank  n.& a. 空格，空白（处）；空的；茫然无表情的 
blanket  n. 毛毯，毯子 
bleed  vi. 出血，流血 
blind  a. 瞎的 
blouse  n. 宽罩衫；（妇女、儿童穿的）短上衣 
body--building  n. 健美 
boil  v. 沸腾；烧开；煮…… 
bomb  n. 炸弹 v. 轰炸 
bonus  n. 津贴，奖金，红利
boot  n. 长统靴；靴 
boring a. 乏味的，无聊的 
bowling  n. 保龄球
boxing  n. 拳击（运动） 
brake  n. 闸 vi. 刹车 
brand  n. 品牌
breakthrough  n. 重大进展，突破
breast  n. 乳房，胸脯
bride  n. 新娘 
bridegroom  n. 新郎
brilliant  a.灿烂的，闪耀的；杰出的；有才气的；精彩的，绝妙的
broadcast  n. 广播节目 
broom  n. 扫帚 
Buddhist   n. 佛教徒 
budget  n. 预算
bunch  n. 串,束,扎,大量,大批
burglar  n. 入室窃贼
bury  vt. 埋；葬 
bush  n. 灌木丛，矮树丛 
businessman (pl. businessmen)  n. 商人（男）；男企业家

Day34
butcher  n. vt. 肉店；屠夫 屠宰（动物）；残杀（人） 
butterfly  n. 蝴蝶 
bye  int. 再见
cabbage  n. 卷心菜，洋白菜 
cage  n 笼；鸟笼 
camel  n. 骆驼 
camp  n.（夏令）营 vi.野营,宿营 
cancel  vt. 取消 
cancer n. 癌 
candle  n. 蜡烛 
candy  n. 糖果 
canteen  n. 餐厅；食堂 
careless  a. 粗心的，漫不经心的 
carpenter  n. 木工，木匠
carriage  n. 四轮马车;（火车）客车厢 
carrot  n.胡萝卜 
cartoon  n. 动画片，卡通；漫画 
cassettle  n. 磁带
cattle  n. 牛（总称），家畜 
cautious  a. 小心的，谨慎的
cave  n. 洞，穴；地窖 
CD   光盘 (compact disk的缩写)
ceiling  n. 天花板，顶棚 
centigrade  a. 摄氏的 
centimetre  (美 centimeter) n. 公分，厘米 
ceremony  n. 典礼，仪式，礼节
chairman n. 主席
chairwoman (pl. chairwomen)  n. 女主席, 女会长；女议长 
chalk  n. 粉笔
chant  v./ n.反复呼喊
chart  n. 图表；航海图 
chat  n. & vi. 聊天，闲谈 
cheat  v. 骗取，哄骗；作弊 n.作弊者；骗子
cheek  n. 面颊，脸蛋 
cheer  n. & vi.欢呼； 喝彩
cheerful  a.兴高采烈的，快活的
cheese  n. 奶酪 
chef  n. 厨师长，主厨
cheque  (美check) n. 支票 
chess  n. 棋 
chew  vt. 咀嚼 

Day35
childhood  n. 幼年时代，童年 
chopsticks  n. 筷子 
cigar  n. 雪茄烟 
cinema  n. 电影院；电影 
circus  n. 马戏团 
civilization  n. 文明
clap  vi. 拍手；鼓掌 
classic  a. 一流的，典型的，有代表性的
classmate  n. 同班同学 
claw  n. 爪
clerk  n. 书记员；办事员；职员 
clever  a. 聪明的，伶俐的 
clinic  n. 诊所 
clone  n.克隆（无性繁殖出来的有机体群） 
coal  n. 煤；煤块 
cocoa  n. 可可粉 
coke  n. 可口可乐 
collar  n. 衣领； 硬领 
comb  n. 梳子 v. 梳 
companion  n. 同伴；同事 
component  n. 组成部分，部件
composition  n. 作文；作曲 
comprehension  n. 理解
conductor  n. 管理人；指导者；（车上的）售票员，列车员；乐队指挥 
confuse  v. 使迷惑，混淆
congratulate  vt. 祝贺 
congratulation  n. 祝贺，庆贺 
conscience  n. 良心，良知，内疚
consensus  n. 一致的意见，共识
conservation  n 保存；（自然资源的）保护，管理 
conservative  a. 保守的，守旧的；保守主义的；谨慎的 n.保守的人，保守主义 
considerate  a. 体贴的 ；考虑周到的
consideration  n. 考虑；关心 
consistent  a. 一致的，始终如一的，连续的；相符的
constitution  n. 宪法，章程；体格，体质
consult  v. 咨询，商量；查阅
consultant  n. 顾问
contemporary  a.属同时期的，同一时代的
contrary  n. / a. 相反 相反的 
convenience  n. 便利 ；适宜；省事

Day36
cookie  n. 小甜饼 
corn  n. 玉米，谷物 
corporation  n. （大）公司
cosy   a.暖和舒适的,亲密无间的
cottage  n. (郊外)小屋,村舍,别墅 
cough  n.& vi. 咳嗽 
courage  n. 勇气； 胆略 
courtyard  n. 庭院，院子 
cousin  n. 堂（表）兄弟，堂（表）姐妹 
crayon  n 蜡笔；蜡笔画 
crop  n. 庄稼；收成 
crossroads  n. 交叉路口
cupboard  n. 碗柜；橱柜 
cycle  vi. 骑自行车 
cyclist  n. 骑自行车的人
damp  a. & n. 潮湿（的） 
decorate  vt.装饰…，修饰…
decrease  v.减少，减小，降低
deed  n. 行为；事迹 
deer  n. 鹿 
degree  n. 程度；度数；学位 
delicious  a. 美味的，可口的 
delighted  a. 高兴的，快乐的 
dentist  n. 牙科医生 
dessert  n. 甜点 
detective  n. 侦探 
devote  vt. 把…奉献, 把…专用（于） 
devotion  n. 奉献，奉献精神 
dial  vt. 拨（电话号码） 
diamond  n. 钻石，金刚石；纸牌中的方块 
diary  n. 日记；日记簿 
dictation  n. 听写 
dictionary  n. 词典，字典 
differ  v. 相异，有区别 
dinosaur  n. 恐龙
dip  vt. 浸，蘸；把…放入又取出 
disability  n.. 残疾；无能 
disabled  a. 残废的，残疾的 
disadvantage  n. 不利条件；弱点 
disagree  vi. 意见不一致，持不同意见 

Day37
disagreement  n. 意见不一致；相违；争论 
disappointed adj. 失望的；沮丧的；受挫折的
disaster  n. 灾难；祸患 
discount  n. 折扣 
disk =disc  n. 磁盘 
dislike  vt. 不喜爱；厌恶 
distinction  n.差别,区别,优秀,卓越
distinguish  v. 区分，辨别，分清
district  n. 区；地区；区域 
dive  vi. 跳水 
divorce  v. 离婚
doll n. 玩偶，玩具娃娃
dormitory  n. 学生宿舍（缩写式dorm） 
downstairs  ad. 在楼下；到楼下 
downtown  ad. 往或在城市的商业区（或中心区、闹市区） n. 城市的商业区，中心区，闹市区 a.城市的商业区的，中心区的，闹市区的 
dozen  n. 十二个；几十，许多 
Dr(缩) = Doctor n. 医生，大夫；博士 
drag  v. 拖；拽 
drawer  n. 抽屉 
drill  n. 钻头；（反复的）训练 vt. 钻(孔)， 在…上钻孔；重复训练 
drum  n. 鼓 
drunk  a. 醉的 
duck  n. 鸭子 
dumpling  n. 饺子 
dusk  n. 黄昏 
dust  n. 灰尘，尘土 
dustbin  n. 垃圾箱 
dusty  a. 尘土般的，尘土多的 
DVD  数码影碟(digital versatile disk) 
eagle  n. 鹰 
ear  n.耳朵.耳状物；听力，听觉 
earthquake  n. 地震 
Easter  n. 复活节 
editor  n. 编辑 
eggplant n. 茄子 
elder  n. 长者；前辈
electric  a. 电的 

Day38
electrical  a. 电的；电器的 
electricity  n. 电；电流 
elephant  n. 象 
embarrass  v.使窘迫，尴尬
embassy  n. 大使馆 
endless  a. 无止境的； 没完的 
energetic  a. 精力旺盛的 
engineer  n. 工程师；技师 
enjoyable a. 愉快的；有趣的 
enthusiastic  a.热情的，热心的
envy  vt.& n. 忌妒； 羡慕 
essay  n. 散文；文章；随笔 
Europe*  n. 欧洲 
European  a. 欧洲的，欧洲人的 n. 欧洲人 
everyday  a. 每日的；日常的 
everywhere  ad. 到处 
evidence  n. 证据，证明
exact  a. 精确的；确切的 
excite vt. 使兴奋，使激动 
exit  n. 出口，太平门 
expectation  n. 预料；期望 
experiment  n. 实验 
explode  v. （使）爆炸 
export n. / v.出口，输出
extraordinary a. 离奇的；使人惊奇的 ；非凡的；特别的
eyesight n. 视力；视觉 
facial  a. 脸上的；面部用的 
fantastic a. (口语)极好的，美妙的，很棒的
fare  n.（车或船的）费用，票（价） 
farm  n. 农场；农庄 
farmer  n. 农民 
favourite  (美 favorite) a. 喜爱的 n. 特别喜爱的人（或物） 
fax  n. 传真 v.给……发传真
feather  n. 羽毛 
fellow n. 同伴；伙伴 
fence n. 栅栏；围栏；篱笆 
festival n.&a. 节日(的)，喜庆的 

Day39
fetch vt. (去)取（物）来，（去）带（人）来 
fever  n. 发烧；发热 
fierce  a. 猛烈的 
fist  n. 拳(头) 
flag  n. 旗；标志；旗舰 
flame  n. 火焰，光辉 
flash  n. 闪；闪光； 转瞬间 
flashlight  n. 手电
flesh  n. 肉 
flood  n. 洪水 vt. 淹没，使泛滥
flour  n. 面粉，粉 
flu  n. 流行性感冒 
fluent  a. （外语）流利的，流畅
focus  v. / n.集中（注意力，精力）于，焦点，中心点
fog  n. 雾 
foggy  a. 多雾的 
folk  a. 民间的 
fond  a. 喜爱的，爱好的 
fool  n. 傻子，蠢人 v. 欺骗，愚弄；逗弄，开玩笑
foolish  a. 愚蠢的，傻的
forecast  n. & vt. 预告 
forehead  n. 前额 
foreigner  n. 外国人 
forever  ad. 永远；永恒的 
forgive  (forgave, forgiven) vt. 原谅，宽恕 
fork  n. 叉，餐叉 
fortunate  a. 幸运的； 侥幸的
foster vt.培养，鼓励；抱（希望）
found  vt. 成立，建立 
fox  n. 狐狸 
franc n.法郎
freeway  n. 高速公路 
freeze  (froze, frozen) vi. 结冰 
frequent  a. 经常的；频繁的 
fridge =refrigerator  n. 冰箱 
friendship  n. 友谊，友情 
frighten  vt. 使惊恐，吓唬

Day40
frog  n. 青蛙 
frost  n. 霜 
fry  vt. 用油煎；用油炸 
fur  n. 毛皮；皮子 
garage  n. 汽车间（库） 
garbage  n. 垃圾 
garlic  n. 大蒜
generous  a. 慷慨大方的
gentle  a. 温柔的，轻轻的 
gentleman  n. 绅士，先生；有身份、有教养的人 
geography  n. 地理学 
gesture  n. 姿势，手势 
gifted  a. 有天赋的；有才华的 
giraffe  n. 长颈鹿 
glory  n.巨大的光荣; 荣誉;赞美 
glove  n. 手套 
glue  n. 胶水 
god  n. 神，（大写）上帝 
golden  a. 金(黄)色的 
golf  n. 高尔夫球 
goose (复 geese)  n. 鹅 
grade  n. 等级；（中小学的）学年；成绩，分数 
graduate  v. 毕业 
graduation  n. 毕业，毕业典礼 
grain  n. 谷物，谷类 
gram  n. 克(重量单位) 
grammar  n. 语法 
grandchild  n.(外)孙或孙女.孙辈 
granddaughter  n. （外）孙女 
grandparents  n.祖父母.外祖父母 
grandson  n. （外）孙子 
granny  n. 老奶奶；祖母；外婆 
grape  n. 葡萄 
grasp  v. 抓住；紧握 
greedy  a. 贪婪的 
greengrocer  n.（英）蔬菜水果商 
greeting  n. 祝贺 
grey / gray  a. 灰色的； 灰白的 
grocery n.食品杂货店
guest  n. 客人，宾客 

Day41
guidance  n. 引导，指导 
gym =gymnasium  n. 体操；体育馆；健身房 
gymnastics  n. 体操 
habit  n. 习惯，习性 
ham  n. 火腿 
hamburger  n. 汉堡包 
hammer  n. 锤子，锣锤
handbag  n. 女用皮包，手提包 
handkerchief  n. 手帕 
handsome  a. 英俊的 
handwriting  n. 书法 
happiness  n. 幸福，愉快 
harbour (美harbor)  n. 港口 
hardworking  a. 努力工作的 
harm  n.&v. 伤害；损伤 
harmful  a.有害的；致伤的 
harvest  n.& vt. 收割，收获（物） 
headache  n. 头疼 
headmaster  n. （英）中小学校长 
headmistress    n. 女校长 
heaven  n. 天，天空 
heel  n. 脚后跟 
helicopter  n. 直升飞机 
helpful  a. 有帮助的，有益的 
hen  n. 母鸡 
hero  n. 英雄，勇士，男主角 
highway  n.公路,主要交通道路
hire  vt. 租用 
hobby  n. 业余爱好，嗜好 
homeland  n. 祖国 
hometown  n. 故乡 
homework  n. 家庭作业 
honest  a. 诚实的，正直的 
honey  n. 蜂蜜 
honour (美honor)  n. 荣誉，光荣 vt. 尊敬，给予荣誉 
hopeful  a. 有希望的；有前途的 
hopeless a.没有希望,不可救药的 
horrible  a. 令人恐惧；恐怖的 
host  n. 主人；节目主持人 v. 做主人招待 

Day42
hostess  n. 女主人 
hot dog  n. 热狗(红肠面包) 
housewife  n. 家庭主妇 
housework  n. 家务劳动 
hug  v. 拥抱 
human being  人 
humorous  a. 富于幽默的 
humour (美humor)  n.幽默,幽默感 
hunger  n. 饥饿 
hungry  a. （饥）饿的 
hunter  n. 猎人 
hurry  vi. 赶快；急忙 
hurt (hurt, hurt)  vt. 伤害，受伤；伤人感情 
idiom  n. 习语，成语 
ill  a. 有病的；不健康的 
indeed  a. 确实；实在 
independence  n. 独立 
injure  vt. 损害，伤害 
ink  n. 墨水，油墨 
inn  n. 小旅店；小饭店 
innocent  a.无辜的，清白的 
insect  n. 昆虫
insert  vt. 插入 
inspect  vt. 检查；检验；审视 
instant  a. 瞬间；刹那 
institute  n. (研究)所, 院，学院 
instruct  vt. 通知；指示；教 
intelligence  n.智力,才智,智慧
interpreter  n.翻译者，口译者 
interrupt  v. 打扰，打断 
is v.(be的第三人称单数）是
jam  n. 果酱；阻塞 
jar  n. 罐子；坛子 
jaw  n. 下巴 
jazz  n. 爵士音乐，爵士舞曲 
jeep  n. 吉普车 
joke  n. 笑话 
journalist  n. 记者，新闻工作者 
journey  n. 旅行，路程 

Day43
joy  n. 欢乐，高兴，乐趣 
kangaroo  n. 大袋鼠 
kettle  n. (烧水用的)水壶 
kilometre n. 千米（公里）
kindergarten  n. 幼儿园 
kindness  n. 仁慈；善良 
kingdom  n. 王国
kiss  n.& vt. 吻，亲吻 
kite  n. 风筝 
lab  = laboratory n. 实验室 
lake  n. 湖 
lamb  n. 羔羊 
lap  n. (人坐时)膝部.(跑道的)一圈 
lazy  a. 懒惰的 
leak  vi. 漏； 渗 
leather  n. 皮革 
lecture  n. 讲课，演讲 
lemon  n. 柠檬 a. 柠檬色(味)的 
lemonade  n. 柠檬水 
lid  n. 盖子
lightning  n.闪电 
lion  n. 狮子
liquid  n. & a. 液体；液体的 
litre (美liter)  n. 升； 公升
litter  v. 乱丢杂物 
lively  a. 活泼的;充满生气的 
local  a. 当地的；地方的 
lock  n. 锁 vt. 锁，锁上 
lonely  a. 孤独的，寂寞的 
loose  a. 松散的； 宽松的 
lorry  n.（英）运货汽车，卡车 
lovely  a. 美好的，可爱的 
luggage  n. (总称)行李 
lung  n. 肺；肺脏
madam/ madame  n. 夫人,女士 
